"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","task","brightness","correct_response","congruency","correct"
"1744","<p style='font-size:60pt; opacity:.1; color:blue;'>GREEN</p>","b","html-keyboard-response","43","164955","0.0-2.0-1.20","stroop","dim","b","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","44","166964","0.0-2.0-0.21","fixation","","","",""
"1394","<p style='font-size:60pt; opacity:.1; color:yellow;'>YELLOW</p>","y","html-keyboard-response","45","168359","0.0-2.0-1.21","stroop","dim","y","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","46","170388","0.0-2.0-0.22","fixation","","","",""
"1013","<p style='font-size:60pt; opacity:.1; color:red;'>RED</p>","r","html-keyboard-response","47","171402","0.0-2.0-1.22","stroop","dim","r","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","48","173413","0.0-2.0-0.23","fixation","","","",""
"1645","<p style='font-size:60pt; opacity:.1; color:yellow;'>YELLOW</p>","y","html-keyboard-response","49","175059","0.0-2.0-1.23","stroop","dim","y","Congruent","true"
"5603","<p>You responded correctly on NaN% of the trials.</p>
          <p>Your average response time was NaNms.</p>
          <p>Press any key to complete the experiment. Thank you!</p>","g","html-keyboard-response","50","180665","0.0-3.0","","","","",""
"2565","Welcome to the experiment. Press any key to begin.","g","html-keyboard-response","51","183231","0.0-4.0","","","","",""
"12466","
      <p>In this task, you will see word in a color</p>
      <p style='color:red;font-size:60pt;'>BLUE</p>
      <p>Press r, g, b, or y to identify the color, not the word</p>
      <p>E.g., press r for red in this example</p>
      <p>Make your responses as quickly and accurately as possible</p>
      <p>Press any key to begin.</p>
      ","enter","html-keyboard-response","52","195697","0.0-5.0","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","53","198715","0.0-6.0-0.0","fixation","","","",""
"2610","<p style='font-size:60pt; opacity:1; color:blue;'>BLUE</p>","b","html-keyboard-response","54","201326","0.0-6.0-1.0","stroop","normal","b","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","55","203339","0.0-6.0-0.1","fixation","","","",""
"1402","<p style='font-size:60pt; opacity:1; color:yellow;'>GREEN</p>","y","html-keyboard-response","56","204742","0.0-6.0-1.1","stroop","normal","y","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","57","206770","0.0-6.0-0.2","fixation","","","",""
"1557","<p style='font-size:60pt; opacity:1; color:red;'>YELLOW</p>","r","html-keyboard-response","58","208328","0.0-6.0-1.2","stroop","normal","r","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","59","210338","0.0-6.0-0.3","fixation","","","",""
"1206","<p style='font-size:60pt; opacity:1; color:yellow;'>YELLOW</p>","y","html-keyboard-response","60","211546","0.0-6.0-1.3","stroop","normal","y","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","61","212552","0.0-6.0-0.4","fixation","","","",""
"1659","<p style='font-size:60pt; opacity:1; color:blue;'>YELLOW</p>","b","html-keyboard-response","62","214211","0.0-6.0-1.4","stroop","normal","b","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","63","215219","0.0-6.0-0.5","fixation","","","",""
"1458","<p style='font-size:60pt; opacity:1; color:red;'>BLUE</p>","r","html-keyboard-response","64","216677","0.0-6.0-1.5","stroop","normal","r","Incongruent","true"
